,source,target,edge
121,he,real  passion,expressed real
122,directors,other,been supportive
123,production designer,eight  films,is stuart
124,so  we,substantial  piece,was
125,harry potter series,four  composers,had
126,desplat,harry  potter,returned to
127,,2  2011,part
128,they,,came
129,director,last  time,shouts
130,harry  potter,unkind  muggle,is
131,however  part,2  2d,released in
132,,january,reported
133,principal  photography,august,began on
134,david  ayer,director,confirmed as
135,,barry bruce allen,affleck as
136,justice league,worldwide  november,released
137,aquaman,october,announced in
138,production,august,began in
139,villain mister mind,- credits mid - scene,introduced in
140,month  sequel,officially diego comic con,announced at
141,production,early  december,begun by early
142,month pedro pascal,key  role,cast in
143,filming  locations,warner bros,include
144,wonder woman,1984  june,scheduled
145,initial  script,michael chris guggenheim,drafted by
146,dan mazeau,writer,brought
147,2018 john francis daley,march,hired
148,plot,speed force multiverse,revealed
149,production,january,scheduled
150,flash,sometime  2021,expected
151,who,peter,were receptive
152,production,2020,expected
153,aquaman,2  december,scheduled
154,suicide squad,shortly  superman,occurred
155,,january,reported
156,principal  photography,august,began on
157,david  ayer,director,confirmed as
158,,barry bruce allen,affleck as
159,justice league,worldwide  november,released
160,aquaman,october,announced in
161,production,august,began in
162,villain mister mind,- credits mid - scene,introduced in
163,month  sequel,officially diego comic con,announced at
164,production,early  december,begun by early
165,month pedro pascal,key  role,cast in
166,filming  locations,warner bros,include
167,wonder woman,1984  june,scheduled
168,initial  script,michael chris guggenheim,drafted by
169,dan mazeau,writer,brought
170,2018 john francis daley,march,hired
171,plot,speed force multiverse,revealed
172,production,january,scheduled
173,flash,sometime  2021,expected
174,who,peter,were receptive
175,production,2020,expected
176,aquaman,2  december,scheduled
177,suicide squad,shortly  superman,occurred
178,jim,two  kiss,reacts
179,they,last minute slot,agree
180,2011  production,april,confirmed in
181,whishaw,project,left
182,i,man,ceased
183,discussions,him,began about
184,fletcher,executive producer credit,received
185,' vinyl release,8  february,followed on
186,digital  version,22  january,released
187,instead  it,threatening  illness,referred to
188,it,outside north america,is
189,new  markets,,included
190,it,south  korea,is
191,they,conclusions,jumped to
192,horror,also  fantasy,overlap with
193,prevalent  elements,ghosts,include
194,it,third faust legend,is
195,this,trick films,was
196,trick films,special  effects,were silent
197,l'inferno,three  artists,directed by
198,series,close surrealist movement,is
199,film,five  stories,split into
200,it,german  expressionism,is
201,f. w. murnau,themed  movie,made
202,it,gothic horror novel dracula,was
203,this,expressionism style,popularized
204,they,german expressionist movement,become
205,exaggerated  smile,dc,was
206,film,poorly  audiences,received by
207,classic,special morality effects,is
208,it,earlier  film,was
209,film,well  critics,received by
210,assistant,abnormal  brain,gives
211,first  one,rue morgue,is
212,it,boris karloff,'s
213,first  one,july,was in
214,it,blue murder mystery room,was
215,it,boris  lugosi,stars
216,it,six  movies,was
217,universal  pictures,iconic  actors,paired
218,peter ruric peter,screenplay,wrote
219,fiction horror film,hit  frankenstein,was
220,actress elsa lanchester,bride,portrayed
221,he,writing,continued by
222,radiation effects,slowly  him,begin
223,gloria,title role,called
224,intervening  criticism,intervening  decades,divided
225,film,,was
226,phantom  creeps,112th  sound,was universal
227,other  studios,lead,followed universal
228,fright  factor,way,enhanced
229,film director william castle,film gimmick,considered
230,1950s,well creature feature,is
231,fly,vincent fiction horror price,is
232,film,popular cult culture,become
233,phrase twilight zone,surreal  experiences,used
234,1970s,american horror films,was
235,italian  film,nicolas roeg,was
236,murder,main horror films,were
237,poltergeist,chicago film critics association,ranked
238,changeling,psychological peter medak,is
239,influence,still  films,seen in
240,bloody  valentine,slasher day fiction,is
241,first  shake,philippines,released
242,several action horror movies,notably,released in
243,dark fantasy horror which,special artist stan winston,is
244,event horizon,american fiction horror paul,is
245,monster horror,quite  1990s,was
246,,first tremors franchise,tremors  
247,valentine,contrast,was
248,others,many  awards,was
249,it,alejandro amenábar,written
250,comic book adaptations,blade series,became
251,pronounced  trends,horror films,marked
252,films,english language countries,become successful
253,notable  film,spanish horror filmmaker,is
254,cold  prey,norwegian roar uthaug,is
255,others,psychological horror film,proved
256,latter  film,sequel,spawned
257,covenant prometheus,extraterrestrial  themes,address extraterrestrial
258,verónica,real horror events,is
259,,death day death february,released in
260,themes,typical action horror films,prevalent in typical
261,category,also fantasy genre,fuses
262,horror which,holiday  season,depicts
263,it,christmas,set during
264,examples,all r house,include
265,examples,frankenstein,include
266,common  themes,vengeful  ghosts,include vengeful
267,examples,ring,include
268,genre,sometimes science fiction,overlap with
269,examples,birds,include
270,it,most  1964,was
271,examples,unfriended friend request,include unfriended
272,one,noticeable side effects,is sleeplessness
273,,social horror controversy,films
274,however horror movies,positive  endings,present positive
275,,illicit love affair,concerned with
276,others,duck soup,include
277,such  films,sometimes words splatter,known as
278,military  comedies,good  morning,include good
279,film,thin  coating,is
280,today  it,international film commerce,become
281,it,simple  friends,be
282,1968  festival,19  may,halted on
283,,thierry frémaux,became general
284,festival,european  films,become
285,jill forbes,european  cinema,argue in european
286,however  curse,black  pearl,became
287,second  film,generated disney pictures logo,was
288,roadshow  studios,filming port locations,confirmed as filming
289,suddenly  market,musicals,flooded with
290,many,musical  numbers,comedies
291,,2 box office,grease
292,chicago,,was
293,original  ones,moulin,idlewild
294,musical  films,rio,include
295,sound  film,,was
296,however  colour,late  1950s,become
297,le jayenge,raja hai,hona
298,biggest bollywood movie stars,1990s,been
299,juvenile  stars,box office,appear
300,american  films,greatly  aleksandrov,impacted
301,successful  blend,social  message,was
302,another,popular  films,was
303,music,singing,limited to
304,here  work,spectacle,provided
305,other  director,musical  films,was
306,all,wife,starred
307,it,most  type,is
308,short,term,was
309,they,usually film grants,funded by
310,it,,made for individual
311,griffith,nation,'s
312,short  comedies,typically  serial,were
313,animated  cartoons,short  subjects,came
314,short  films,student,become
315,they,also  period,declined in
316,animated  shorts,commercial  distribution,continue within mainstream
317,shortstv,short television films,was
318,such  movies,also  internet,distributed via
319,it,second it film series,is
320,juno  rinaldi,adult gretta,portrays
321,ideally  we,march,start
322,part,only  kids,is
323,sophia  lillis,jessica wolfhard,chose
324,town hall exterior,derry library,used as
325,visual  effects,atomic  arts,provided by atomic
326,music,benjamin wallfisch.\n,composed by
327,it,two,chapter
328,it,second it film series,is
329,juno  rinaldi,adult gretta,portrays
330,ideally  we,march,start
331,part,only  kids,is
332,sophia  lillis,jessica wolfhard,chose
333,town hall exterior,derry library,used as
334,visual  effects,atomic  arts,provided by atomic
335,music,benjamin wallfisch.\n,composed by
336,it,two,chapter
337,notion,long feature time,varied according
338,narrative feature film,minute kelly gang,was
339,early  features,noteworthy style events,were
340,italian  features,last quo pompeii,]
341,1913,first feature film,saw
342,yip,,written by
343,incidental  music,stothart,composed by
344,h. cannon,four page outline,submitted
345,part,betty  jaynes,written for betty
346,instead contract player,frank  september,cast on
347,gale sondergaard,wicked  witch,cast as
348,replacement,him,halted
349,oz sequences,three strip technicolor,filmed in
350,arnold  gillespie,special effects film,was
351,develop,tornado scene,was
352,house,small  maquete,recreated by
353,cowardly  costume,real lion skin,made from real
354,film,musical  selections,noted for
355,haley,solo parts,rerecorded
356,musical  pieces,editing process,deleted in
357,this,ding  dong,was
358,witch,smaller dialogue sequences,is dead
359,first sneak preview,san  bernardino,held in san
360,film,nationwide  august,opened
361,it,warner bros,released by
362,restoration job,prime focus world,given
363,film,ultra  hd,scheduled
364,2d version,still g rating,retains
365,,seven snow anything,has
366,film,.mw parser .mw output,0;padding:0
367,major  differences,original  book,exist between
368,it,sam raimi,directed by sam
369,it,critical  reception,was
370,chief costume designer,final  design,was responsible
371,film version,1982,remade in
372,example,police story,include
373,genre,aurat mehboob,pioneered by
374,other  examples,gunga,include
375,they,unprotected word lines,include
376,examples,angry  men,include
377,it,revalina sayuthi revalina temat,stars
378,muslim  actor,surya,is
379,meanwhile  surya,affections,competing for
380,people bramantyo,,based on
381,film,5 billion 5,cost
382,bramantyo,main cast members,contacted
383,made movie musicals,made  tv,become popular
384,it,movie,was
385,principal  photography,june,began on
386,first  trailer,day  november,released
387,final  trailer,march,released on
388,north maleficent,north america,is
389,largest opening weekends,china,were in
390,film,however  amount,ended
391,,even  presence,fades in
392,it,agency,gives
393,it,power,gives
394,very,rape,were
395,principal  photography,august,concluded on
396,director godfrey reggio,philip films music,edited
397,artistic  merits,film music,debated
398,production music,convenient media producers\xa0,is
399,apm,"250,000 us tracks.\n",has
400,she,strength,have
401,where garland stops,film,go
402,she,tear,deserves
403,examples,killers,include
404,this,war,means
405,title,cynical  image,is
406,,unfortunately  mr,charges
407,we,seriously  release,were
408,film,temporarily  brazil,banned for
409,2012  decision,5  july,overturned
410,dragan  bjelogrlić,film,criticized
411,that,something,'s
412,i,it,watch
413,you,serbian  film,want
414,i,conscience,want on
415,nota,thriller anand shankar,is
416,film,box office,was
417,varun subramanyam,video game uk,is
418,he,house arrest,remained as
419,varun,then name rowdy,gains
420,day  she,sleeping  pills,found dead
421,dam,many  lives,opens
422,vinothan,heated  argument,have
423,emotional  drama,characters,is
424,film,box office.\n,was
425,i,indian s. shankar,is
426,soundtrack  score,a. r. rahman,composed by
427,production design,t. muthuraj,handled by
428,,15  july,photography
429,main  ambition,chennai,is
430,he,diya,infatuated with
431,initially  go,well  diya,is shy
432,diya,soon  truth,proves successful
433,he,instead  her,focouses on
434,eventually  he,face,worsens
435,he,then  them, 
436,they,secluded  life,decide
437,additional stunt direction,anl  arasu,done by anl
438,prosthetic  makeup,christien tinsley,done by
439,later  name,chopra,suggested along
440,film,14  january,scheduled
441,she,experience,saw
442,media rights,satellite rights,included
443,,net  collections,crores
444,karma,thai kanittha kwanyu,is
445,atlee kumar,tamil film industry,is
446,project,grossing tamil 2016,became
447,atlee kumar,tamil film industry,is
448,project,grossing tamil 2016,became
449,increasingly film festivals,films,show
450,festivals,specific film maker,focus on
451,prestigious film festivals,world,considered
452,venice film festival,oldest film world,is
453,running film festival,international sydney film festival,is
454,short film festival,yorkton film 1947,is
455,montreal world film vancouver,international film festival,are
456,arbor film festival,1963,started in
457,independent film festival,uk,is
458,few film festivals,specific  subjects,focused on
459,festivals,mainstream  films,included
460,examples,related film festivals,include
461,,international john thimothy,festival
462,hot  docs,filmmaker paul jay,is
463,whistler film festival,80  screenings,has more
464,international film festival,competitive film mexico,is
465,it,important film chile,is arguable
466,focus,american  cinema,is on latin
467,many film festivals,exclusively  animation,dedicated
468,notable  festivals,international mountain film festival,include
469,they,prestigious film world.\n,considered
470,franchise,short  films,includes short
471,it,universal  pictures,distributed by universal
472,final  films,2020,planned
473,fourth car movie,soft car culture,toned
474,company weta effects company digital,likeness,hired
475,ultimately  film,april,delayed
476,cast,ghost hologram,appear via
477,parkour  athletes,drivers,featured
478,following  list,website,sourced from
479,,mixed  reviews,game
480,models,diecast designer eric tscherne,designed by renowned
481,franchise,short  films,includes short
482,it,universal  pictures,distributed by universal
483,final  films,2020,planned
484,fourth car movie,soft car culture,toned
485,company weta effects company digital,likeness,hired
486,ultimately  film,april,delayed
487,cast,ghost hologram,appear via
488,parkour  athletes,drivers,featured
489,following  list,website,sourced from
490,,mixed  reviews,game
491,models,diecast designer eric tscherne,designed by renowned
492,dual voting system,1956,developed in
493,filmfare  awards,first  1954,introduced in
494,choice award,short  film,presented
495,so  ceremony,next  year,pushed to
496,,two  change,were
497,theme,hundred  future,was
498,,,bhoslekishore
499,dual voting system,1956,developed in
500,filmfare  awards,first  1954,introduced in
501,choice award,short  film,presented
502,so  ceremony,next  year,pushed to
503,,two  change,were
504,theme,hundred  future,was
505,,,bhoslekishore
506,batman series,grossing north america,is
507,film,cave,introduced
508,johnny  duncan,robin,batman
509,film,leslie,directed by
510,late  popularity,late  1970s,waning
511,holden,1981,died in
512,nine  rewrites,separate  writers,performed by
513,final  salary,$ 50 million,reported
514,rewrites,warren skaaren,performed by
515,filming,warner bros,started at
516,film,more  money,felt
517,,arnold  mr,schwarzenegger
518,then  idea,them,greenlight
519,he,warner bros,approached
520,aronofsky,batman franchise,intended
521,joss  whedon,december,pitched in
522,it,also  no,listed at
523,dark knight rises,batman trilogy,intended
524,as anne hathaway,selina kyle,cast
525,charles roven,also  film,set
526,history,killer croc,referenced
527,film,early  2019,scheduled
528,calotype process,paper negatives,produced
529,transparent plastic roll film,1889,followed in
530,it,flammable  nitrocellulose,called nitrate
531,photographic  plates,only  blue,were
532,however  all,these,were
533,commercially color film,glass plate 1907,was
534,it,held snapshot use,was expensive
535,film,278  patents,had
536,photographic  lenses,film,designed around
537,this,when color film,was
538,filters,different film types,were different
539,subject  matter,heavy  exposure,is tolerant
540,automatic  cameras,average  density,try
541,naming  standard,russian standards authority,is gost
542,common film speeds,iso,include
543,expensive  lenses,quartz,used
544,apochromatic  lenses,improved  spectrum,recommended due
545,,,filmkodak
546,first  thriller,silent london fog,was
547,film,future james bond films,be
548,action scenes,thriller  genre,gotten
549,such  films,silver streak,include
550,such  films,rather  policeman,focus on
551,central  topics,killers  murders,include serial
552,genre,late  1970s,was popular
553,examples,pelican  brief,include
554,other  examples,tall  man,include
555,sometimes  protagonist,psychic  ability,has
556,examples,thirteenth  floor,include
557,loft,thriller erik van looy,is
558,,,chris
559,he,ann,mentions
560,production,july,wrapped
561,loft,negative  reviews,received
562,,brief saruman imprisons gandalf,'after
563,bilbo,sword,gives
564,fellowship,then uruk hai,ambushed by
565,aragorn,lurtz,arrives
566,gandalf,defeated  palantír,retrieves
567,gandalf sauron,capital minas tirith,deduces
568,,gollum chasm,attacks
569,fellowship,19  december,released
570,peter we,it,trilogy
571,jackson,own film production company,founded
572,jackson,new  zealand,called
573,2009  dispute,8  september,settled
574,numerous video games,film series,released
575,aladdin,musical walt disney pictures,is
576,,new  life,married
577,numan acar,hakim,set
578,musical  sequence,1000  dancers,features
579,cgi scenes,better  notices,received better
580,international  openings,china,were in
581,you,original  film,be
582,film,july,released on
583,film,may,released on
584,film,may,released on
585,film,may,released on
586,film,june,released on
587,james mangold,later  film,hired
588,mark bomback,then  script,hired
589,film,july,released on
590,screenplay,kinberg,written by
591,specialist tim miller,april,hired
592,film,february,released on february
593,film,may,released on
594,superheroes,risky  missions,going
595,additional  filming,august,occurred in
596,film,june,released on
597,records,three  films,surpassed
598,morris,men,praised
599,two  films,cerebral  tone,praised due
600,later  zombie,white  zombie,disbanded white
601,second studio album,united platinum states,became
602,third studio album,earlier  recordings,was
603,he,venomous rat regeneration vendor,released
604,live  shows,elaborate shock rock theatricality,praised for
605,he,oldest  robert,is
606,brother michael david,lead band powerman,is
607,zombie,album rob,released
608,second studio album,sinister november,released on
609,second  single,single  feel,preceded by
610,film,theatrically  april,released
611,album,educated  march,released on
612,film,grossing  date,went
613,ii,august,released on august
614,series,comic  book,appeared in
615,deluxe  2,february,released on
616,tour,officially  december,concluded on
617,we,plan,stick to
618,album,april,released on
619,album,lowest selling date,become
620,album,april,released on
621,zombie,seriously   heaviest,described
622,film,yet release date,has
623,he,white  zombie,style
624,later  zombie,white  zombie,disbanded white
625,second studio album,united platinum states,became
626,third studio album,earlier  recordings,was
627,he,venomous rat regeneration vendor,released
628,live  shows,elaborate shock rock theatricality,praised for
629,he,oldest  robert,is
630,brother michael david,lead band powerman,is
631,zombie,album rob,released
632,second studio album,sinister november,released on
633,second  single,single  feel,preceded by
634,film,theatrically  april,released
635,album,educated  march,released on
636,film,grossing  date,went
637,ii,august,released on august
638,series,comic  book,appeared in
639,deluxe  2,february,released on
640,tour,officially  december,concluded on
641,we,plan,stick to
642,album,april,released on
643,album,lowest selling date,become
644,album,april,released on
645,zombie,seriously   heaviest,described
646,film,yet release date,has
647,he,white  zombie,style
648,parties,deal  contracts,negotiate
649,step,actually  film,designed
650,actors,separate call times,have
651,take,everyone,inform
652,camera camera,camera operator,recording
653,video  film,film editor,assembled by
654,visual  effects,digitally  artist,added by
655,film,required  exhibition, 
656,parties,deal  contracts,negotiate
657,step,actually  film,designed
658,actors,separate call times,have
659,take,everyone,inform
660,camera camera,camera operator,recording
661,video  film,film editor,assembled by
662,visual  effects,digitally  artist,added by
663,film,required  exhibition, 
664,bbfc,uk age verification scheme,is
665,local  authorities,films,chose
666,first 12a certificate,bourne identity,was for
667,turnover,when job vacancies website,is low
668,bbfc,also video games,rated
669,bbfc  guidelines,public  consultations,based on public
670,consultation,march,began in
671,bbfc,following  certificates,issues
672,they,licensed  cinemas,seen in
673,foreign language film,award,was
674,foreign language film it,foreign language film award,awarded
675,animated  films,also  category,permitted in
676,film,nomination,earned
677,one  film,country,accepted from
678,arab  film,foreign language film award,succeeded in
679,such  films,underground  channels,continued
680,pornographic  films,typically  softcore,categorized as
681,it,sexual  activity,contains graphic
682,earliest  frenchmen,pirou  kirchner,were
683,gyrating  pelvis,earliest  films,censored
684,however  none,pornographic  films,known
685,entrepreneurs,demand,emerged
686,term glamour,modeling  photography,was
687,european sex films,european  continent,were
688,debbie,dallas,does
689,nothing,this,stop
690,it,dedicated industry publications,followed by dedicated
691,pornographic film studios,also  houston,centered in
692,traditionally  audience,pornographic  films,been
693,most  actors,certain  genres,specialize in certain
694,they,normally  jewellery,wear
695,annie,support group member,befriended by
696,first  you,bloody  head,scream
697,,annual sundance institute,is
698,2019 sundance film festival,24  february,began
699,it,van wagenen,earle
700,capra  award,stewart,went
701,resident robert who,resident robert redford,was
702,2013 sundance london festival,2013 car maker jaguar,held
703,2018  events,same  venue,continued at
704,war,action thriller siddharth anand,is
705,vaani  kapoor,lead  role,finalised
706,who,south arts action korea,is
707,themes,sanchit balhara,composed by
708,india,today  it,rated
709,it,highest bollywood films,is
710,soon film production companies,all  world,established
711,technical  improvements,sound  recording,synchronized sound
712,movies,victorian art age,become
713,technical  problems,1923,resolved by
714,film,painted  slides,included
715,first  films,device,were tipsy
716,technique,1901 film ghost,used in
717,,more china mission station,is
718,films,1900,were
719,films,proper  plots,were
720,he,silent  films,starred in
721,jacksonville,american film industry,was
722,film company,different  approach,was
723,trend,italy,followed in
724,f. percy smith,early nature documentary charles,was
725,danish film companies,1912,multiplying
726,swedish film industry,danish  industry,was smaller
727,important  man,charles svenskabiografteatern cinema chain,was
728,khanzhonkov company,so film 1918,became
729,i,french éclair company,was
730,exhibition venues,higher  prices,became larger
731,biggest  success,years,was david
732,wark griffith,nation,'s
733,german film industry,seriously  war,weakened by
734,this,floodlights,replaced with
735,shaped  slits,vertical  apertures,used
736,new  idea,still  photography,was soft
737,photographer edward raymond patron,photographer edward raymond turner,directed by photographer
738,subsequently technicolor technique,subsequently  1916,arrived
739,american propaganda films,desperate  journey,included desperate
740,it,greatest  time,considered
741,gimmicks,also  audiences,proliferated
742,disney,notably peter beauty,continued
743,limelight,interesting  respect,is
744,,seven samurai blood,films rashomon
745,hidden  fortress,also star wars,was
746,series,1962,render
747,bonnie,new  hollywood,considered
748,classical  cinema,new hollywood producers,is
749,jeet kune,style,do
750,indian  film,time,was
751,same camera system,spy kids,used
752,silent  film,recorded  sound,is
753,pianists,sheet music,play
754,silent  film,retroactively  something,is
755,town movie theatres,usually  pianist,had
756,w. griffith,nation,groundbreaking epic
757,silent film acting,modern day audiences,is apt
758,vaudeville,silent film actors,was
759,,silent  films,appear
760,frame,times  screen,flashed
761,silent era projectors,bladed  shutters,fitted with
762,represented  fire,mysterious  atmosphere,represented
763,early  studios,new york city area,located in
764,others films,fort  lee,shot in
765,amounts,gross  exhibition,are gross
766,australian film doctor plonk,silent rolf de heer,was
767,stage plays,silent film styles,drawn upon silent
768,blancanieves,silent pablo berger,is
769,short  that,silent film comedies,is
770,sheep,positive  reviews,released to positive
771,aardman animations,also  morph,produced
772,film,year,made in
773,early  forms,motion pictures,were black
774,color television,more  u.s,became
775,colour photography,inaccurate  hues,was
776,color photography,mid-20th  century,became
777,sometimes  color,cover,reserved for
778,many school yearbooks,entirely  black,are
779,early  forms,motion pictures,were black
780,color television,more  u.s,became
781,colour photography,inaccurate  hues,was
782,color photography,mid-20th  century,became
783,sometimes  color,cover,reserved for
784,many school yearbooks,entirely  black,are
785,it,first it film series,is
786,chosen stephen bogaert,roles,oleff
787,it,grossing horror time,is
788,kajganich,also warner bros,mentioned
789,now  they,evil,going
790,it,all  core,'s
791,i,different  approach,had
792,kids,really  bill,creeped
793,it,arri alexa xt,photographed with
794,look,lenses,is
795,he,natural  look,trying
796,it,like  quality,gives
797,so  i,away  it,wanted
798,it,just  sync,was
799,overall  response,face,seemed
800,internationally  film,"10,560  screens",released on
801,hollywood reporter,warner bros,reported
802,brennan,awards season,was
803,evil clown pennywise,scary bill nightmares,wrote
804,ideally  we,march,start
805,part,only  kids,is
806,cinema historians,category,defined
807,sensibility,warner bros,mirrored in
808,classic  film,maltese falcon,noirs
809,one,others,was
810,it,british century subsidiary,is
811,noir film genre,cold  war,developed mid
812,black christopher debut,classic  noir,was
813,television series veronica,,mars
814,,implacable groundstar investigator,centers on
815,film noir,many  manners,parodied many
816,dead carl men,plaid,wear
817,noir parodies,darker  tones,come in darker
818,final  act,parodic  strain,is
819,still  others,mood,focus on
820,survey,identifying  characteristics,considered definitive
821,faces,partially  darkness,obscured by
822,,conventional hollywood filmmaking,rarity in conventional
823,robert  montgomery,only  mirrors,seen
824,,different sunset boulevard,'in
825,archetypal  characters,many film noirs,appear in many
826,bars,frequently gambling action,are
827,soundtrack,vidyasagar,composed by
828,film,moderate box office,was
829,135 camera film,standard  perforations,perforated with kodak
830,135  film,several emulsion types,made in several
831,perforation size,standard  specification,according to
832,this,38.00\xa0  mm,specified as
833,12 exposure rolls,daily  press,used
834,24×36\xa0 mm exposures,1914,seems
835,335,mm stereo format,was
836,single lens reflex,kine 1936,was
837,,dramatic łukasz palkowski,is
838,afi,private  funding,supported by private
839,prior  leaders,jr director george,founding
840,film training program,afi  conservatory,grew into
841,first  class,filmmakers terrence malick,included
842,producer richard gladstein,july,became dean
843,afi  catalog,1968,is
844,afi  awards,outstanding,honor
845,awards,competitive  excellence,are
846,american film market,afi market fest,is
847,additional  sponsors,american  airlines,include american
848,afi  docs,documentary washington,is
849,festival,"27,000 documentary enthusiasts",attracts
850,theatre  center,cultural silver spring,is
851,together defeat who,afterwards  director,working
852,group,victory,celebrates
853,lori pelenise lori tuisano,sefina  hobbs,portrays sefina
854,,,cousins
855,character,future  film,cast in
856,most  filming,shepperton  studios,done at shepperton
857,production,officially  january,wrapped on
858,same  method,mclaren,applied for
859,idris  elba,human  abilities,enhanced
860,finally  they,destruction,handled
861,cyber,clearangle,scanned by
862,second  trailer,april,released on
863,final  trailer,june,released on
864,reald 3d conversion,film,planned
865,together defeat who,afterwards  director,working
866,group,victory,celebrates
867,lori pelenise lori tuisano,sefina  hobbs,portrays sefina
868,,,cousins
869,character,future  film,cast in
870,most  filming,shepperton  studios,done at shepperton
871,production,officially  january,wrapped on
872,same  method,mclaren,applied for
873,idris  elba,human  abilities,enhanced
874,finally  they,destruction,handled
875,cyber,clearangle,scanned by
876,second  trailer,april,released on
877,final  trailer,june,released on
878,reald 3d conversion,film,planned
879,film,long  camera,ran
880,films,1900,were
881,many  directors,artistic  bond,form
882,montage,motion picture terminology,is
883,classic  examples,rocky,include rocky
884,two  shots,same tone value,be approximate
885,assistant  editors,temporary  sound,perform temporary
886,lower budget features,one  assistant,have
887,organizational aspects job,best database management,compared to
888,assistant editing,career path,seen as
889,avn  awards,american trade magazine avn,are
890,they,porn,called
891,xrco awards,rated critics organization,given by
892,penny arcade attractions,topless  women,featured topless
893,casey  donovan,pornographic  hit,starred in
894,they,commonly  20s,are
895,a,boxcover,is
896,she,power,has
897,times  she,phone calls,gets
898,she,phone calls,stops
899,you,gangbangs,do
900,they,even phone call,get
901,so  it,anal girl toy,'s
902,most  actresses,adult industry,are free
903,they,anyone,shoot for
904,most contract girls,"$  60,000",make
905,average  male,"$  40,000",makes
906,claims,public health authorities,criticized by various
907,breakdown voltage,dielectric  films,is
908,this,current  rating,double
909,film,less  material,made of
910,rated film capacitors,film metal foil construction,are
911,however metal foil capacitors,healing  properties,have
912,special  type,plastic film capacitors,called
913,characteristics,mixed film materials,listed
914,they,metallized  versions,manufactured
915,table,smaller capacitance 50\xa0pf,is
916,they,metallized  versions,manufactured
917,they,metallized  types,produced
918,they,metallized  types,produced as metallized
919,dielectric absorption performance,dielectric  capacitors,is excellent
920,ptfe,often dupont trademark teflon,known by
921,wound,,manufactured
